dataNum,0.0 comp,0.0 swap,0.1 comp,0.1 swap,0.2 comp,0.2 swap,0.3 comp,0.3 swap,0.4 comp,0.4 swap,0.5 comp,0.5 swap,0.6 comp,0.6 swap,0.7 comp,0.7 swap,0.8 comp,0.8 swap,0.9 comp,0.9 swap,1.0 comp,1.0 swap
480,479,0,34965,17304,51673,25694,65537,32682,70943,35408,94875,47442,93741,46922,100491,50356,102933,51620,103915,52152,108329,54412
490,489,0,26177,12892,45571,22632,60141,29956,81805,40838,91739,45866,95233,47652,107921,54066,113725,57016,108851,54620,113799,57148
500,499,0,34327,16966,55163,27440,71755,35776,93391,46662,102981,51494,95697,47870,115987,58096,118443,59364,113045,56730,115115,57812
510,509,0,24341,11960,58599,29158,85815,42826,89847,44894,91235,45614,108803,54446,120541,60386,121285,60796,114995,57700,119341,59930
520,519,0,34073,16824,60077,29890,78379,39082,94599,47244,98377,49188,108821,54460,114701,57468,123985,62168,125357,62884,128427,64482
530,529,0,37233,18410,58929,29304,83713,41750,77721,38788,96279,48118,109193,54648,126271,63250,127727,64032,132505,66454,131959,66250
540,539,0,37319,18444,63693,31692,74877,37336,102413,51158,113235,56640,120145,60126,123743,61982,137537,68946,133807,67122,141403,70976
550,549,0,39357,19464,69455,34568,85399,42590,110879,55422,115683,57844,119917,60028,129791,65000,138025,69172,151719,76090,147327,73942
560,559,0,26751,13142,76677,38186,89519,44640,102149,51014,111871,55932,140081,70132,143505,71874,140377,70348,145417,72936,157125,78844
570,569,0,37775,18662,65455,32552,91815,45792,102225,51038,125677,62848,140609,70366,144279,72242,154615,77486,153237,76858,150169,75378
580,579,0,47127,23340,73727,36690,98171,48974,117219,58534,139835,69932,132611,66352,150237,75244,158681,79526,162463,81464,161403,80998
590,589,0,44021,21776,72179,35906,92421,46082,119267,59576,136507,68258,149995,75060,147557,73896,161213,80770,164359,82428,169453,85028
600,599,0,39679,19606,81835,40742,105965,52862,117327,58614,134709,67328,153011,76580,151813,76036,174941,87670,172767,86634,171569,86090
610,609,0,45819,22670,80021,39836,115079,57440,129887,64902,144157,72086,153443,76778,160207,80228,175269,87814,176033,88264,185905,93266
620,619,0,49709,24614,87029,43342,112621,56190,135995,67934,144063,72044,159687,79892,159919,80084,171069,85734,185591,93040,184227,92432
630,629,0,44325,21912,97925,48784,97951,48846,141717,70790,158271,79140,172545,86346,174315,87280,177513,88950,190479,95510,187223,93932
640,639,0,47125,23312,83785,41698,121387,60562,138035,68944,151249,75624,160291,80234,176819,88542,187137,93770,193663,97086,197183,98916
650,649,0,56153,27828,94885,47260,128053,63914,136293,68082,163471,81744,192249,96196,192261,96282,190683,95536,201427,100972,200147,100404
660,659,0,55459,27472,96407,48004,129283,64514,145823,72856,151623,75800,177323,88728,185233,92746,201365,100892,210919,105726,218919,109792
670,669,0,59423,29440,93989,46800,122239,60978,155531,77720,171915,85942,185365,92750,190425,95354,204873,102648,210085,105314,215389,108040
680,679,0,54583,27024,98825,49208,138495,69126,157693,78774,183477,91750,185613,92880,216679,108460,217241,108832,205117,102834,225323,113006
690,689,0,64575,32012,100159,49876,118373,59028,153691,76756,184445,92244,193293,96752,208079,104190,218135,109290,229269,114910,234797,117752
700,699,0,62293,30876,93681,46630,129497,64590,161381,80634,181561,90798,204605,102366,222675,111488,219011,109704,221591,111082,229085,114900
