dataNum,0.0 comp,0.0 swap,0.1 comp,0.1 swap,0.2 comp,0.2 swap,0.3 comp,0.3 swap,0.4 comp,0.4 swap,0.5 comp,0.5 swap,0.6 comp,0.6 swap,0.7 comp,0.7 swap,0.8 comp,0.8 swap,0.9 comp,0.9 swap,1.0 comp,1.0 swap,
470,54990,0,54990,7717,54990,19598,54990,28651,54990,28135,54990,34478,54990,34303,54990,38346,54990,39641,54990,38133,54990,41574,
480,57360,0,57360,14362,57360,19264,57360,26919,57360,31131,57360,36004,57360,38863,57360,39553,57360,38906,57360,42070,57360,43458,
490,59780,0,59780,13965,59780,19981,59780,30158,59780,31695,59780,38060,59780,39584,59780,40902,59780,43356,59780,42663,59780,43388,
500,62250,0,62250,11875,62250,23316,62250,30661,62250,34141,62250,35030,62250,40289,62250,41812,62250,44516,62250,45726,62250,42091,
510,64770,0,64770,15237,64770,23909,64770,33436,64770,35785,64770,39314,64770,40090,64770,44094,64770,46324,64770,47635,64770,48494,
520,67340,0,67340,14220,67340,25352,67340,33001,67340,36672,67340,42548,67340,42899,67340,46216,67340,47815,67340,45651,67340,49478,
530,69960,0,69960,14674,69960,23336,69960,31151,69960,37015,69960,44183,69960,42991,69960,46254,69960,47575,69960,52324,69960,50319,
540,72630,0,72630,20593,72630,28725,72630,35484,72630,37559,72630,46334,72630,46740,72630,49674,72630,51022,72630,54082,72630,53734,
550,75350,0,75350,13969,75350,25079,75350,30020,75350,39064,75350,44956,75350,47000,75350,48737,75350,53361,75350,54217,75350,56074,
560,78120,0,78120,12968,78120,24747,78120,39882,78120,42941,78120,45264,78120,49024,78120,54751,78120,54540,78120,54525,78120,57208,
570,80940,0,80940,17168,80940,23245,80940,35282,80940,42215,80940,54206,80940,49983,80940,53863,80940,58158,80940,56828,80940,58645,
580,83810,0,83810,15018,83810,30939,83810,37485,83810,44290,83810,51059,83810,54166,83810,56258,83810,60296,83810,58435,83810,63050,
590,86730,0,86730,13578,86730,33709,86730,39937,86730,50091,86730,56445,86730,54830,86730,62749,86730,62265,86730,62152,86730,61877,
600,89700,0,89700,18971,89700,28651,89700,44369,89700,46351,89700,56652,89700,59561,89700,64304,89700,61764,89700,62681,89700,64448,
